id_estacion,Dirección,Código postal,Latitud,Longitud,Tipo,Rótulo,Tipo venta,Rem.,Margen,id_localidad
192,BONETE S/Nº,2690,38.958875,-1.236552,terrestre,COOPERATIVA SANTA CRUZ DE ALPERA,P,dm,N,10
193,N-322 km 3262,2320,38.878028,-2.150639,terrestre,E.S. BALAZOTE S.L.,P,dm,D,11
194,CALLE ALBACETE 57,2639,39.043139,-2.195139,terrestre,E.S. BARRAX S.L.,P,dm,I,12
195,CAMINO DE LOS GONZALOS SN,2639,39.051236,-2.192996,terrestre,COABA,R,dm,D,12
196,CARRETERA BIENSERVIDA KM. 10,2360,38.516417,-2.617667,terrestre,GASOLINERA ETENOIL,P,dm,N,13
197,AUTOVIA A-31 KM. 126,2691,38.875861,-1.331500,terrestre,REPSOL,P,OM,D,14
198,CR N-430 5663,2691,38.876111,-1.331611,terrestre,REPSOL,P,OM,I,14
199,CALLE CARRETERA MUNERA 2,2610,38.953361,-2.535056,terrestre,REPSOL,P,OM,D,15
200,AVDA. ALBACETE 33,2151,39.100792,-1.560857,terrestre,GASOLINERAS DEL REY,P,dm,D,16
201,CARRETERA CASAS IBAÑEZ KM. 138,2212,39.255139,-1.332194,terrestre,COOPERATIVA,R,dm,D,17
202,AVDA. DEL VINO 10,2200,39.291389,-1.474111,terrestre,NTRA SRA DE LA CABEZA,R,dm,D,18
203,CARRETERA ALBACETE KM. 94,2200,39.283944,-1.477806,terrestre,CEPSA,P,dm,I,18
204,CR N-344 DIRC.VALENCIA KM.  118.3,2660,38.727472,-0.943000,terrestre,BP PARGA I PETROL BAS BEL,P,dm,N,19
205,AVENIDA VALENCIA DE 16,2660,38.708944,-0.982111,terrestre,GALP,P,dm,N,19
206,CARRETERA D-12 ESTACION KM. 32,2660,38.711694,-0.971639,terrestre,VILA Y FAYOS ,P,dm,D,19
